Bounding Phase Method - Results
#Iteration	x	f(x)
0	-9.368980614496534	335948.44380516955
1	-9.268980614496535	305307.40372552996
2	-9.068980614496535	249689.89455132117
3	-8.668980614496535	158727.8598523904
4	-7.868980614496535	41144.445437509945
5	-6.2689806144965345	-38423.10207797342


Interval Halving Method - Results
#Iteration	x_1	x_m	x_2	f(x_1)	f(x_m)	f(x_2)
1	-6.668980614496535	-5.468980614496535	-4.2689806144965345	-30912.03857669515	-40363.44874770909	-28480.284484286072
2	-6.068980614496535	-5.468980614496535	-4.868980614496534	-40257.51236992182	-40363.44874770909	-35471.23410877683
3	-5.7689806144965345	-5.468980614496535	-5.168980614496535	-41165.262652154546	-40363.44874770909	-38332.99976607685
4	-5.918980614496535	-5.7689806144965345	-5.618980614496535	-40958.67237449394	-41165.262652154546	-40945.92088418403
5	-5.843980614496535	-5.7689806144965345	-5.693980614496535	-41119.35838843516	-41165.262652154546	-41104.77507601296
6	-5.806480614496535	-5.7689806144965345	-5.731480614496535	-41156.12520670754	-41165.262652154546	-41147.807835607746
7	-5.787730614496535	-5.7689806144965345	-5.750230614496535	-41164.082243810764	-41165.262652154546	-41159.79535111914
8	-5.778355614496535	-5.7689806144965345	-5.759605614496535	-41165.511435617314	-41165.262652154546	-41163.35196360443
9	-5.783043114496535	-5.778355614496535	-5.773668114496535	-41165.00759449505	-41165.511435617314	-41165.595784318044
10	-5.776011864496535	-5.773668114496535	-5.771324364496534	-41165.6059206673	-41165.595784318044	-41165.48127783985
11	-5.777183739496535	-5.776011864496535	-5.7748399894965345	-41165.57177153526	-41165.6059206673	-41165.61391445503
12	-5.775425926996535	-5.7748399894965345	-5.774254051996535	-41165.61318501498	-41165.61391445503	-41165.6081129143
13	-5.775132958246535	-5.7748399894965345	-5.774547020746535	-41165.61436635295	-41165.61391445503	-41165.61182981188
